"","age","gender","raceethnicity","city","state","armed","pop","share_black","share_hispanic","college","cluster"
"1",16,2,2,188,2,4,3779,"30.5","5.6",0.168509509,1
"2",27,2,5,231,19,4,2769,"36.2","0.5",0.111402359,1
"3",26,2,5,156,45,4,4079,"7.7","16.8",0.147312269,1
"4",25,2,3,292,5,2,4343,"0.6","98.8",0.050132928,1
"5",29,2,5,198,35,4,6809,"1.4","1.7",0.403954214,2
"6",29,2,5,230,4,4,4682,"7.7","79",0.102955195,1
"7",22,2,3,17,5,2,5027,"0.3","44.2",0.20380117,1
"8",35,2,3,341,5,5,5238,"0.2","84.1",0.090437601,1
"9",44,2,5,307,41,2,4832,"17.7","66.3",0.047601339,1
"10",31,2,5,344,23,6,3795,"7.7","26.5",0.102691511,1
"11",76,2,5,130,5,3,2786,"0.9","44.9",0.100328947,1
"12",40,2,5,244,5,4,9429,"0.6","12.9",0.527176781,2
"13",37,2,3,139,41,4,11228,"32.1","53.3",0.095803642,2
"14",31,2,5,317,16,2,3413,"7.6","3.1",0.345857854,1
"15",23,2,5,143,16,5,5573,"23.5","7.5",0.568033429,2
"16",39,2,3,202,40,2,6315,"27","24.7",0.226814777,2
"17",25,1,2,14,11,7,1997,"58.4","6.4",0.3805374,1
"18",54,2,3,12,43,2,3651,"16.2","15.7",0.424964937,1
"19",24,1,5,275,5,2,5286,"6.9","16.5",0.552548489,1
"20",57,2,2,275,5,4,5740,"7.5","15.2",0.40952621,2
"21",21,2,3,275,5,7,4303,"5.1","58.1",0.349884906,1
"22",42,2,2,209,29,4,5213,"2.3","2.9",0.258886442,1
"23",21,2,3,151,17,6,4149,"10.7","41.4",0.070931245,1
"24",36,2,5,103,5,2,6460,"4.4","76.4",0.071504237,2
"25",26,2,5,52,36,2,3348,"0.9","9.7",0.1694018,1
"26",49,2,5,180,37,2,5824,"2.2","15.1",0.125731679,2
"27",54,2,5,76,30,2,4521,"1.8","1.9",0.284854246,1
"28",26,2,5,308,5,2,3202,"6","77.9",0.179372197,1
"29",48,2,2,243,10,2,6172,"7.4","6.5",0.15356292,2
"30",33,2,3,87,41,2,4160,"3.4","89.9",0.047239915,1
"31",21,2,3,65,5,3,7886,"1.2","35.9",0.117980072,2
"32",41,2,2,263,20,2,4924,"66.4","35.2",0.182336182,1
"33",48,2,2,181,40,7,4228,"98.6","0",0.140077821,1
"34",36,2,2,142,2,3,6018,"4.3","1.4",0.422256775,2
"35",41,2,3,54,11,2,5601,"0.6","5.1",0.268161872,2
"36",29,2,2,162,38,3,2742,"12.3","37.1",0.172319475,1
"37",27,2,2,45,11,4,3305,"9.5","13.7",0.565535024,1
"38",45,2,5,79,11,2,4838,"23.7","6.3",0.172743574,1
"39",32,2,3,170,5,2,2584,"3.4","89.6",0.100675676,1
"40",35,2,3,225,44,2,6747,"0.9","78.7",0.057256583,2
"41",36,2,2,303,3,2,3245,"44.4","1.8",0.100468284,1
"42",35,2,2,258,11,3,4947,"2.4","2.6",0.192909897,1
"43",40,2,3,214,36,7,5887,"2.6","56.6",0.035338785,2
"44",18,2,5,299,10,2,5004,"4","5.5",0.205354678,1
"45",34,1,5,37,13,2,4465,"14.5","6.8",0.096564885,1
"46",39,2,3,278,5,3,8623,"0.2","93.9",0.06139805,2
"47",21,2,3,23,41,6,3013,"11.7","84.7",0.022668394,1
"48",62,2,2,14,11,4,3580,"85.1","6.2",0.129396985,1
"49",43,1,5,114,28,2,5876,"31.7","2.9",0.170362358,2
"50",44,2,5,2,32,2,5203,"0.3","81.5",0.162601626,1
"51",29,2,5,35,36,2,4601,"0.1","1.7",0.139616613,1
"52",35,2,2,336,8,2,2664,"7.8","10.5",0.828070175,1
"53",50,2,5,223,10,3,8874,"17.7","19.8",0.175059952,2
"54",18,2,2,57,35,2,2182,"98.9","0.1",0.083226633,1
"55",25,2,5,328,41,2,6701,"0.8","22.8",0.171770432,2
"56",31,2,5,187,14,3,9680,"0","8.1",0.226443265,2
"57",29,2,2,170,5,2,2860,"4.5","15.5",0.662311147,1
